id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image
7203,1,Jeff bezos,Bezos,M,54,None,Technology ,Amazon,112.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
1824,2,Bill gates,Gates,M,62,None,Technology ,Microsoft,90.0 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
7738,3,Warren buffett,Buffett,M,87,United States,Finance and Investments ,Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
9504,4,Bernard arnault,Arnault,None,69,France,Fashion & Retail ,LVMH,72.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
9302,5,Mark zuckerberg,Zuckerberg,M,35,United States,Technology ,Facebook,71.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
5757,6,Amancio ortega,Ortega,None,82,None,Fashion & Retail ,Zara,70.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
9712,7,Carlos slim helu,Slim helu,M,78,Mexico,Telecom ,telecom,67.1 BUSD,0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
1113,12,Charles koch,Koch,M,82,None,Diversified ,Koch Industries,60.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
8849,13,David koch,Koch,M,78,USA,Diversified ,Koch Industries,60.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
3444,8,Larry ellison,Ellison,None,73,United States,Technology ,software,58.5 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
6325,11,Michael bloomberg,Bloomberg,M,76,United States,Media & Entertainment ,Bloomberg LP,50.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
4765,9,Larry page,Page,M,45,United States,Technology ,Google,48.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
9046,10,Sergey brin,Brin,M,44,None,Technology ,Google,47.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
4994,19,Jim walton,Walton,M,70,None,Fashion & Retail ,Walmart,46.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
4976,20,S. robson walton,Walton,M,73,None,Fashion & Retail ,Walmart,46.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
8863,21,Alice walton,Walton,F,68,United States,Fashion & Retail ,Walmart,46.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
2372,15,Ma huateng,Ma,M,46,None,Technology ,internet media,45.3 BUSD,0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
6970,14,Francoise bettencourt meyers,Bettencourt meyers,None,64,France,Fashion & Retail ,L'Oreal,42.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
7582,17,Mukesh ambani,Ambani,M,61,None,Energy ,"petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
7760,18,Jack ma,Ma,M,53,None,Technology ,e-commerce,39.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
7956,16,Sheldon adelson,Adelson,None,84,United States,Gambling & Casinos ,casinos,38.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
5420,22,Steve ballmer,Ballmer,M,62,None,Technology ,Microsoft,38.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
2401,24,Li ka-shing,Li,M,90,None,Diversified ,diversified,34.9 BUSD,0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
5490,26,Hui ka yan,Hui,M,59,China,Real Estate ,real estate,30.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
9080,28,Lee shau kee,Lee,M,90,None,Real Estate ,real estate,30.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
1830,27,Wang jianlin,Wang,M,63,None,Real Estate ,real estate,30.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
7276,29,Beate heister & karl albrecht jr.,Albrecht jr.,,66,None,Fashion & Retail ,supermarkets,29.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
8455,25,Phil knight,Knight,M,80,None,Fashion & Retail ,Nike,29.6 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
5300,30,Jorge paulo lemann,Lemann,M,78,None,Food and Beverage ,beer,27.4 BUSD,-672.311 millions USD,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
2901,23,Francois pinault,Pinault,M,81,None,Fashion & Retail ,luxury goods,27.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
7411,40,Georg schaeffler,Schaeffler,M,53,None,Automotive ,auto parts,25.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
