id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image,Rank,Population, % of World Population,Date,Source
7738,3,Warren buffett,Buffett,M,87,United States,Finance and Investments ,Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,3,"329,196,803",4.24%,17 Jan 2020,National population clock
9302,5,Mark zuckerberg,Zuckerberg,M,35,United States,Technology ,Facebook,71.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3444,8,Larry ellison,Ellison,None,73,United States,Technology ,software,58.5 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6325,11,Michael bloomberg,Bloomberg,M,76,United States,Media & Entertainment ,Bloomberg LP,50.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4765,9,Larry page,Page,M,45,United States,Technology ,Google,48.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8863,21,Alice walton,Walton,F,68,United States,Fashion & Retail ,Walmart,46.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7956,16,Sheldon adelson,Adelson,None,84,United States,Gambling & Casinos ,casinos,38.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3062,50,James simons,Simons,M,80,United States,Finance and Investments ,hedge funds,20.0 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3018,58,Carl icahn,Icahn,None,82,United States,Finance and Investments ,investments,16.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2188,76,Donald bren,Bren,M,86,United States,Real Estate ,real estate,16.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,3,"329,196,803",4.24%,17 Jan 2020,National population clock
